sentence,true_label,predicted_label,source
"These were participants with little or no experience from economic games, because, according to the SHH, there will be a negative deliberation effect on cooperation only for subjects with limited experience from economic games and other ""artificial lab environments"" (Rand et al., 2014).",1,2,ssc
"First, the higher the payoff foregone by a freerider when not receiving rewards, the more likely he/she is to act (more) cooperatively in the social dilemma game in order to attract rewards.",0,1,ssc
"Under naturally occurring circumstances, search costs and switching costs, as well as fluctuations in individual performance, tend to delay regrouping.",0,2,ssc
The results suggest that remembering an experience of rejection can trigger anger and ruminating on being rejected can trigger indirect aggression.,0,1,ssc
"We found that when people's mortality was not called to their attention, a need-focused appeal had more influence on their donation decisions than a bandwagon appeal.",2,1,ssc
"Yet, when group identification was high, both leader types appeared to be equally efficient.",1,2,ssc
"Identifying the strategy employed by players engaged in an IPD could also have wider implications for understanding the determinants of social conflicts in general, and help to design effective methods for ameliorating these problems.",0,1,ssc
More intelligent subjects were significantly more likely to vote for whichever of FS or IS was associated with higher earnings ex post.,0,1,ssc
Our studies suggest that sometimes coordination can be easily promoted by simply pointing out to people that certain information is available to all people involved.,1,0,ssc
"In many social-game protocols, ranging from gift-exchange over ultimatum bargaining to public-good situations, human behaviour differs substantially from the Nash-equilibrium that results if we assume that players care only about their own monetary payoff.",1,2,ssc
"Consequently, our results indicate that emoticons mainly affect behavior through the communication channel provided with it (feedback as pre-play communication).",2,0,ssc
"In two behavioral experiments, we offer individuals the latter possibility: Participants can work together to increase the total size of the pie and hence increase the size of their own slice.",1,2,ssc
"The alternative model predicts the following predictions: P 1 : When there is no tax imposed, individual contributions will exceed 5. P 2 : When a tax of 3 is imposed, total individual contributions will exceed the individual contributions made when there is no tax imposed.",1,2,ssc
It is therefore possible that the higher rates of cooperation in PD are (partly) due to the smaller size of the action set.,0,2,ssc
The fothfun mechanism thus leads to less cooperation than in the baseline case with no punishment if the detrimental effect of retaliatory punishment is greater than the positive norm-enforcing effect of punishment.,1,2,ssc
The paying taxes label should then lead to contributions comparable to those participants who do not spontaneously associate the public goods game with teamwork.,2,1,ssc
"For the present purposes, we opted against counterbalancing, due to the demands that this would have placed on the number of different sequential arrangements, as well as a balanced distribution of young and old girls and boys.",2,1,ssc
"If industries can relocate easily, then the level of pollution would depend on the country with the weakest environmental regulation.",2,1,ssc
"We find that contributions are 56.6% higher when group composition is different across both public goods dilemmas as compared to when composition is the same across the two public goods dilemmas (M 1 = 17.7,",2,1,ssc
"Without data on both expectations and contributions, it can be difficult to identify the strategies adopted by participants in economic games, a necessary step to test fully theories of cooperation.",1,2,ssc
If all participants adopt the strategy of never using the bus then they will each receive an earning of £25.,1,2,ssc
"First, models of information signaling have shown that sequential giving can have beneficial effects for voluntary public good provision when the common value of the public good is uncertain.",1,2,ssc
"The extent of individual cooperation tends to be higher among high-identifying individuals, either because they place greater value in the good itself (De Cremer & Van Vugt, in press;Kerr, 1996), because they have greater trust in the cooperative intentions of fellow group members (Brann & Foddy, 1987;Brewer & Kramer, 1986;Kramer & Brewer, 1984), or both.",0,1,ssc
"As a consequence, confounding effects such as reputation building through punishment or strategic reasons for punishing to increase cooperation in repeated interactions, as shown by Gächter et al. (2004) and Gächter and Herrmann (2009), can be excluded and a clear theoretical benchmark for standard preferences can be derived.",0,2,ssc
"In our study, by perceiving the punishment executer to be human, we show that such a rule could emerge spontaneously because the rule benefits the punishment executers themselves.",2,1,ssc
"Because the cooperate-cooperate outcome produces more wealth than any other, optional entry will increase social welfare.",2,1,ssc
"Thus, we compare people who hold the evoked identity to people who are familiar with, but who do not hold, that identity: if identity is important in the current effects, those who do not hold the evoked identity will not be affected by identity-salience manipulations.",1,2,ssc
"Otherwise, if the accumulated gain explains the behaviour of the birds but the one trial gain does not, then the birds are making decisions based on the four trial reward and are playing a mutualism game.",1,2,ssc
"The individual -group discontinuity effect entails that in mixed-motive situations, such as the Prisoner's Dilemma game (PDG), intergroup interactions are more competitive than inter-individual interactions.",1,2,ssc
These results suggest that the shared outcomes involved in cooperation did increase cohesiveness.,2,1,ssc
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.",1,2,ssc
"Fear is associated with the goal to avoid risk, which in a social dilemma induces a tendency to avoid exploitation or loss.",1,2,ssc
"Although further investigation of long-term and prospective studies  is needed, we identified four variables as predisposing factors for higher major  amputation in diabetic patients through meta-analysis.",0,2,pubmed
We found that informal care significantly reduced the subjective well-being of female caregivers,0,2,haber
"Results suggest that weight change is associated with diabetes incidence because, conditional upon initial BMI, weight change determines attained BMI.",0,2,haber
"The prospective, positive associations between increased physical activity at baseline and higher e-cigarette use 6 months later is of concern.",0,1,haber
Nighttime surgery not a factor in survival for heart and lung transplants,0,2,press_release
"Discrimination was related to poorer adjustment in terms of loneliness, anxiety, and somatization",0,1,haber
An increasing number of midlife vascular risk factors was significantly associated with elevated amyloid SUVR.,0,1,haber
"Increasing individual- and neighborhood-level safety over time were associated with decreasing BMI over the 10-year period, with a more pronounced effect observed in women for individual-level safety and men for neighborhood-level safety.",0,1,haber
"In this longitudinal population-based study, we found that, after adjustment for familial confounding, epilepsy was not associated with increased risk of violent crime, questioning expert opinion that has suggested a causal relationship.",0,1,haber
"Latent difference score models revealed a significant difference in depression and anxiety symptoms over the two measurement occasions, indicating poorer psychological functioning for those who reported an impact as a result of the economic slowdown",0,2,haber
Diabetes can be predicted 7 years before pregnancy with blood sugar and body weight,0,2,press_release
"Premature babies are more likely to survive when they are born in high-level neonatal intensive care units (NICUs) than in hospitals without such facilities, and this benefit is considerably larger than previously reported.",0,2,press_release
"Smoking, head injury, pesticide exposure, farming and less education may be risk factors for a rare sleep disorder that causes people to kick or punch during sleep, according to a study published in the June 27, 2012, online issue of Neurology&reg;, the medical journal of the American Academy of Neurology.",0,2,press_release
"IL-1β levels after STEMI were strongly associated with impaired myocardial function and noninfarct LV mass after 1 year, suggesting a potential role for IL-1β as a predictor of maladaptive myocardial remodelling following reperfused MI.",0,1,haber
Intake of skimmed milk was associated with lower cancer mortality with a hazard ratio of 0.97 (95% CI 0.96–1.00) per doubling in milk intake.,0,1,haber
"Low 25(OH)vitamin  D levels are associated with the presence of NAFLD independently from metabolic  syndrome, diabetes and insulin-resistance profile.",0,2,haber
"Use of CAD during screening mammography among Medicare enrollees is associated with increased DCIS incidence, the diagnosis of invasive  breast cancer at earlier stages, and increased diagnostic testing among women  without breast cancer.",0,1,haber
"Hospitals with exceptional rates of survival for in-hospital cardiac arrest are also better at preventing cardiac arrests, even after adjusting for patient case mix.",0,2,haber
"But joint custody seems to be less problematic than sole custody, the findings suggest.",0,1,press_release
"Screening mammography use in older Medicare beneficiaries seems to reflect their 4-year risk of mortality rather than age alone, suggesting that patients and providers consider prognosis in screening decisions.",0,1,haber
"These findings suggest that current WHO-recommended ART regimens appear relatively safe in pregnancy, although more data are required to understand the aetiology of preterm delivery in HIV-infected women using ART",0,1,haber
"In this large cohort, exposure to PPIs during the first trimester of pregnancy was not associated with a significantly increased risk of major birth defects.",0,1,haber
"2 trajectories presented increased hazards of dying: trajectory 1 (stable overweight; moderately impaired, then declining, cognitive function and autonomy) and trajectory 6 (stable normal BMI; slight cognitive decline; and moderate, then degrading, loss of autonomy).",0,1,haber
This study provides evidence from China that long term exposure to ambient PM at relatively high concentrations is positively associated with incident stroke and its major subtypes.,0,1,haber
"Known by many as one of the least favorite wintertime chores, shoveling snow can also be hazardous and is associated with many serious, even fatal events among both adults and children.",0,2,press_release
"There was an association between physical activity (per SD increase) and grey matter volume after adjustment for a range of covariates, although this association was only detected in older adults(>60 years old).",0,1,haber
"Afatinib, with or without vinorelbine, showed activity in trastuzumab-naïve HER2-positive IBC patients in a planned subgroup analysis. HER2-positive IBC is characterized by frequent TP53 gain-of-function mutations and a high mutational burden. The high mutational load associated with HER2-positive IBC suggests a potential role for checkpoint inhibitor therapy in this disease",0,1,haber
Employed people with incident diseases had an unsurprisingly increased risk of leaving the labor market,0,1,haber
"In conclusion, among community living older men, higher phosphorus levels are associated with low ABI and are also associated with high ABI in
persons with CKD",0,1,haber
"The greatest mortality risk was associated with residing in communities in the most disadvantaged deciles for poverty.  Survival decreased with increasing numbers of
indicators that were in the most disadvantaged decile.",0,1,haber
The risk of developing atrial fibrillation (an irregular or abnormally fast heart beat) or bradyarrhythmias (a heart beat that is too slow) was greater among skiers who completed a higher number of races and with a faster finishing time relative to other participants.,0,1,press_release
Amphetamine use was associated with a greater risk of psychosis than methylphenidate.,0,1,haber
"For Tdap (n=173), there were no significant differences in
vaccine uptake between study arms",0,1,haber
Use of these prescriptions may be associated with an increased risk of subsequent opioid use and abuse.,0,1,haber
"A moderate level of muscular strength is associated with a lower risk of type 2 diabetes, independent of estimated CRF.",0,2,haber
"The study supports a J-shaped association between alcohol and mortality in older adults,
which remains after adjustment for cancer risk. The results indicate that intakes below 1
drink per day were associated with the lowest risk of death.",0,1,haber
The Part D coverage gap was associated with decreased use of medications,0,1,haber
"We demonstrate a significant socio-economic gradient in mental health between the ages of three and nine years, but little evidence for negative effects of large sibship size.",0,2,haber
"In the fully adjusted model, those with an ACB of >3 had 59% relative risk of incident stroke {hazard ratio [HR] [95% confidence interval (CI) 1.59 [1.34–1.89]} and 86% relative risk of stroke mortality [1.86 (1.37–2.53)] compared with those in ACB 0 category.",0,1,haber
The most consistently identified environmental risk factor for meningioma is exposure to ionizing radiation.,0,2,press_release
"Men and women are more likely to make a positive health behavior change if their partner does too, and with a stronger effect than if the partner had been consistently healthy in that domain.",0,1,haber
Men with low free and bioavailable testosterone levels may have a higher risk of mortality within 9 years of hormone measurement.,0,1,haber
"In Denmark, risk of epilepsy was increased in children with hospital-diagnosed pertussis infections compared with the general population",0,1,haber
"The Stockholm and Helsinki CT scores provide more information on the damage sustained, and give a more accurate outcome prediction, than earlier classification systems",0,2,haber
"Healthcare professional weight loss advice appears to increase the accuracy of
firefighter weight perceptions, promote weight loss attempts, and may encourage dieting and physical activity behaviors among overweight firefighters.",0,1,haber
"The risk of dengue was higher in rural than in urban areas, largely explained by lack of piped water supply, and in human population densities more often falling within the critical range.",0,1,haber
"In advanced-stage type 2 diabetes, TeLiPro can improve glycemic control and may offer new options to avoid pharmacological intensification.",0,1,pubmed
"Noninjection use of crystal methamphetamine predicted subsequent injection initiation, and crystal methamphetamine was the most commonly used drug at the time of first injection.",0,1,haber
Obesity in diabetic patients with CHD was associated with lower  cardiovascular and cardiac mortality risks compared with absence of obesity.,0,2,haber
CUSE was able to distinguish between benign and malignant breast masses with high sensitivity and specificity.,0,2,pubmed
"Although overall errors were unchanged, harmful medical errors decreased and family experience and communication processes improved after implementation of a structured communication intervention for family centered rounds coproduced by families, nurses, and physicians.",0,1,haber
Low and high mean HbA1c values were associated with increased all-cause mortality and cardiac events.,0,1,haber
"Among patients in the UK General Practice Research Database, the use of oral bisphosphonates was not significantly associated with incident esophageal or gastric cancer.",0,1,haber
We observed no significant difference in left ventricular reverse remodeling or survival at 12 months between patients who underwent mitral-valve repair and those who underwent mitral-valve replacement,0,1,haber
"Compared with statin non-initiators (n = 5583), statin initiators (n = 5597) had a lower propensity score-adjusted risk for death (hazard ratio 0.79; 95% confidence interval [CI], 0.71-0.88) and cardiovascular hospitalizations (hazard ratio 0.90; 95% CI, 0.82-1.00).",0,1,haber
there was a statistically significant but modest association between higher frequency of digital media use and subsequent symptoms of ADHD,0,1,haber
We found that  early-life SEP was associated with the development of periodontitis in adulthood  that was not mediated by adulthood SEP and behaviors,0,1,haber
"Results indicate that residence in a South Central Asian enclave is associated with less prenatal smoking and earlier prenatal care, but not with birthweight- or gestational-age related outcomes, among immigrant mothers from India",0,1,haber
"Among people with metabolic syndrome, physical activity was associated with reduced mortality from all causes and from cardiovascular causes.",0,1,haber
A higher consumption of processed meat was associated with a higher risk of impairment in agility and lower-extremity function,0,1,haber
Speed bumps could be a new way to help diagnose appendicitis,0,1,press_release
"Overall, women with MS had an increased risk of infections and preterm delivery; however, their risks for other adverse pregnancy outcomes were not elevated.",0,2,haber
"Our results provide no support for a hazard of myeloid leukaemia, nasopharyngeal carcinoma or other upper airways tumours from formaldehyde",0,1,haber
Women who experienced a first CVD event before  age 35 years had a twofold risk of menopause before age 45 years (early menopause).,0,1,haber
"Among older individuals with COPD, new use of long-acting β-agonists and anticholinergics is associated with similar increased risks of cardiovascular events.",0,1,haber
... estimates show that for short-term welfare recipients FDP decreased the prevalence of anxiety by 40% and increased depression by 8%. For black women both anxiety and depression diagnoses declined while Hispanic women experienced a 68% increase in depression,0,2,haber
"Bilateral oophorectomy is associated with a higher risk of multimorbidity, even
after adjustment for conditions present at baseline and for several possible confounders.",0,1,haber
"Our results show a direct correlation between in vivo 25-hydroxyvitamin D levels and the number of VDR binding sites, although our sample size is relatively small.",0,2,haber
"Although there was a high prevalence of current bisphos-phonate use among patients with atypical fractures, the absolute risk was small.",0,1,haber
"Age- and gender-adjusted premature mortality (death before age 70 years) was more likely among those living in the most disadvantaged areas versus least disadvantaged (hazard ratio [HR] = 1.48; 95% confidence interval [CI] = 1.08, 2.01), living in inner regional versus major urban areas (HR = 1.36; 95% CI = 1.07, 1.73), or having the lowest educational level versus the highest (HR = 1.64; 95% CI = 1.17, 2.30).",0,1,haber
"In-hospital mortality and late mortality were lower in the surgically treated group (26.6% vs 41.8%; absolute risk reduction [ARR], -15.2%; P=.004 and 29.7% vs 46.2%; ARR, -16.5%; P=.002, respectively). Operation was independently associated with a lower risk of in-hospital mortality (odds ratio, 0.42; 95% CI, 0.22-0.79; P=.007). Operation was associated with reduced mortality in patients with paravalvular complications (ARR, -40.5%), severe heart failure (ARR, -32%), and native valve endocarditis (ARR, -17.8%).",0,1,haber
Newly diagnosed schizophrenia patients were more prone to insulin resistance in our study population.,0,2,pubmed
Patients with raised d-dimer levels after discontinuing anticoagulant therapy for VTE provoked by a minor transient risk factor were at an increased risk for recurrences.,0,1,haber
Community health workers performed as well as or better than nurses as counselors or case managers in a self-help diabetes management program in a Korean American community.,0,2,haber
"In this large prospective study, higher plant protein intake was associated with lower total and CVD-related mortality",0,1,haber
"After adjusting for maternal age, marital status, education, pregnancy intention, stressful life events, third-trimester use of tobacco and alcohol and gestational age at delivery, physical violence by an intimate partner around the time of pregnancy was positively but non-significantly associated with excessive (but not deficient) gestational weight gain",0,1,haber
"Fetal reduction to
twins and singletons was not associated
with a decreased risk of serious neonatal
morbidity or perinatal death.",0,1,haber
implementation of community-based testing and treatment was associated with an increased proportion of HIV-positive adults who achieved viral suppression,0,1,haber
"The overall risk of first venous thromboembolism in pregnant women increased during admissions to hospital not related to delivery, and remained significantly higher in the 28 days after discharge.",0,1,haber
The patterns of increases in VTE and ischemic stroke rates among transfeminine persons are not consistent with those observed in cisgender women.,0,2,haber
Primary care nurses play a pivotal role in self-management support for patients with a chronic condition.,0,2,pubmed
"Emphysema-like lung on CT was associated with all-cause mortality among persons without airflow obstruction or COPD in a general population sample, particularly among smokers.",0,1,haber
"Our results showed, to our knowledge for the first time, that adherence to the DGA was associated with lower total and cause-specific mortality in a low-income population, including a large proportion of African-Americans, living in the southeastern US.",0,1,haber
"A new study recently published in the American Journal of Transplantation reveals that the ability to successfully carry a pregnancy after kidney transplantation is very high, with 73.5% live birth rates.",0,2,press_release
"In this population-based case-control study of 221 patients with idiopathic inflammatory myositis and 662 age- and sex-matched controls, there was a statistically significant 79% increased likelihood of statin exposure in patients with idiopathic inflammatory myositis compared with controls.",0,1,haber
Higher ambient temperatures above a threshold of 20°C seem to be associated with a transiently increased risk of myocardial infarction 1-6 hours after exposure.,0,1,haber
Some men voice complaints of shortened penis following prostate cancer treatment,0,2,press_release
Medicare patients with a complication produced a 190% higher margin.,0,2,press_release
"Living in a household with a prescription opioid user may increase risk of prescription opioid use, which may reflect both increased access to these products as well as shared risk factors, such as prescriber preference and prescription drug monitoring.",0,1,haber
"High physical activity was associated with a lower risk of colon cancer; in mediation analyses, this association was accounted for (by Proportions of Explained Effect): waist circumference; the biomarkers soluble leptin receptor; and 5-hydroxyvitamin D",0,1,haber
"After controlling for patient demographic characteristics and clinical factors, patients who did not complete a scheduled transition clinic appointment had nearly three times higher odds of readmission compared with patients who completed a transition clinic appointment (Adjusted Odds Ratio 2.80, p = 0.004).",0,1,haber
"In its first year, the 3PC population-based primary care payment system in Hawaii was associated with small improvements in quality and a reduction in PCP visits but no significant difference in the total cost of care",0,1,haber
"Discrimination was related to poorer adjustment in terms of loneliness, anxiety, and  somatization, but family conflict and cohesion modified these relations.",0,1,haber
"Pre-eclampsia was associated with an increased risk of dementia,  particularly vascular dementia. Cardiovascular disease, hypertension, and diabetes  were unlikely to mediate the associations substantially, suggesting that  pre-eclampsia and vascular dementia may share underlying mechanisms or  susceptibility pathways.",0,1,haber
The BMI-matched analysis suggests that fear of surgery is a relevant factor in why obese patients do not decide to undergo bariatric surgery lightly.,0,2,pubmed
CFF results were significantly lower amongst carriers of the GLS long micro satellite,0,2,haber
The study also found earlier onset of menopause was associated with a higher risk of developing osteoporosis.,0,2,press_release
Pregnancy is associated with a substantial risk of a serious motor vehicle crash during the second trimester.,0,1,haber
Hypertension appears to be associated with a doubling of the risk of future ESRD in an otherwise healthy adolescent population.,0,1,haber
"Among patients with incident acute myocardial infarction without prior cardiovascular disease, in-hospital mortality was inversely related to the number of coronary heart disease risk factors.",0,1,haber
"Our findings suggest angiotensin II receptor blockers, β-adrenergic receptor blockers, and calcium channel blockers might be associated with improved survival outcomes of gastrointestinal cancers.",0,1,haber
"""The links between chronic obstructive pulmonary disease and anaemia are already well known, but our study also shows that anaemia is frequently found in patients with severe non-inflammatory respiratory diseases"" says lead author Dr Florian Kollert from the Department of Rheumatology and Clinical Immunology, University Medical Centre, Freiburg, Germany.",0,2,press_release
"In this large cohort study of older adults, serum 25(OH)D levels were inversely associated with incident diabetes in women but not in men.",0,2,haber
"Antibiotic treatment of diarrhoea was associated with reduced time to a subsequent diarrhoea episode, especially among younger infants.",0,1,haber
"In this population-based study, statin use was associated with a higher  prevalence of musculoskeletal pain, particularly in the lower extremities, among  individuals without arthritis",0,1,haber
"Alpha-blocker therapy was associated with an increased risk of ischemic stroke during the early initiation period, especially among patients who were not taking other antihypertensive agents.",0,1,haber
The best-performing nursing homes are sued only marginally less than the worst-performing ones.,0,2,haber
Increased hospital orthopaedic specialisation is associated with improved patient outcomes after adjusting for both patient characteristics and hospital procedural volume.,0,1,haber
Left atrial diameter has a graded and independent association with all-cause mortality in both sexes and with ischemic stroke in women.,0,1,haber
Patients with YOD had the highest hospitalization rates by attained age.,0,2,haber
"Patients with blood pressure of 130–159/70–89 mmHg had the lowest adjusted mortality, and those in whom both SBP and DBP were concomitantly very high or very low had the highest mortality",0,1,haber
Systemic sclerosis complications more severe in African Americans than Caucasians,0,2,press_release
"Split liver transplantation carries no increased risk of failure in either recipient, allowing surgeons to safely save two lives from a single donated organ (graft), according to new research from Boston Children's Hospital published online in the Journal of the American College of Surgeons.",0,2,press_release
"Patients with breast or colon cancer who participated in the 18-week exercise intervention showed
significant higher levels of moderate-to-vigorous total physical activity levels and a tendency towards lower physical
fatigue levels 4 years post-baseline.",0,2,haber
"The admission BSS, a simple inexpensive bedside nursing assessment potentially reflecting frailty and overall illness acuity, was independently associated with hospital and postdischarge mortality when added to established multiparametric illness severity scores among contemporary CICU patients.",0,1,haber
"Among individuals with HIV in rural Kenya and Uganda, implementation of  community-based testing and treatment was associated with an increased proportion of  HIV-positive adults who achieved viral suppression, along with increased HIV diagnosis and initiation of antiretroviral therapy",0,1,haber
Mayo Clinic researchers confirmed that patients who receive therapeutic hypothermia after resuscitation from cardiac arrest have favorable chances of surviving the event and recovering good functional status.,0,2,press_release
Our results provide evidence that obesity is associated with methylation changes in  blood leukocyte DNA.,0,1,haber
Screening mammograms catch second breast cancers early,0,2,press_release
"Care for older men with cancer in the VHA system
was generally similar to or better than care for fee-for-service
Medicare beneficiaries, although adoption of some expensive new
technologies may be delayed in the VHA system.",0,1,haber
Women with an initial EP have a lower chance of conception than those who miscarry but an increased risk of a repeat EP in comparison with all three comparison groups.,0,1,haber
"We found that in this cohort of mostly married and White women, who completed their pregnancies before the legalization of abortion, unwanted pregnancies were strongly associated with poorer mental health outcomes in later life.",0,1,haber
"In summary, 5.0% of deaths among women and 9.5 % of deaths among men were attributable to alcohol in Denmark 2010.",0,1,haber
These results indicate a U-shaped association between fish consumption and all-cause mortality,0,1,haber
"Two-way interaction tests suggested that in young and middle adulthood, individuals were more likely to drink alcohol when they used a firearm or hanging (compared with poisoning), but in older adulthood, the reverse was true, with alcohol use more likely with poisoning.",0,1,haber
"Among community-dwelling decedents of the Health and Retirement Study, there
was an independent association between obesity and reduced hospice service utilization, and inhome death, and higher Medicare expenditures in the last six months of life.",0,1,haber
Rate of chronic health problems for low birth weight children does not increase in adolescence,0,2,press_release
"Overall, higher levels of PTD [22% vs 13%; odds ratio (OR) 1.94, 95% confidence interval (CI): 1.34, 2.82] and LBW (14% vs 9%; OR 1.62, 95% CI: 1.05, 2.29) were observed in HIV-infected vs uninfected women, although SGA deliveries were similar (9% vs 11%; OR 1.06, 95% CI: 0.71, 1.61).",0,1,haber
"Soft drink consumption is significantly linked to overweight, obesity, and diabetes worldwide, including in low- and middle-income countries",0,2,haber
Thinner diabetics face higher death rate,0,2,press_release
This is the first study to look at this association.,0,2,press_release
"In the US Medicare population from 2000 to 2012, short-term exposures to PM2.5 and warm-season ozone were significantly associated with increased risk of mortality.",0,1,haber
"The largest differences between SNAP participants and non participants were observed at grocery stores and big box stores, where SNAP households purchased more calories from starchy vegetables, processed meat, desserts, sweeteners and toppings, total junk food, sugar-sweetened beverages, and milk than income -eligible and higher-income SNAP nonparticipants",0,1,haber
"An examination of the benefit of preventive placement of implantable cardioverter-defibrillators (ICDs) in patients with a less severe level of heart failure, a group not well represented in clinical trials, finds significantly better survival at three years than that of similar patients with no ICD, according to a study in the June 4 issue of JAMA.",0,2,press_release
"Among women age 30–44 years of age without a history of infertility, who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve, compared to normal ovarian reserve, were not associated with reduced fertility.",0,1,haber
"During the 15-year period studied, childhood agression corresponded to an increase in medical visits (8.1% per 1 standard deviation increase in agression), and injuries (10.7%) or lifestyle-related illnesses (44.2%), visits to specialists (6.2%) and visits to emergency departments (12.4%).",0,1,haber
"Older patients undergoing cardiac surgery often experience changes in cognitive function, such as memory problems or an inability to focus, in the days immediately following their operations.",0,2,press_release
We observed an independent negative association between frequent cannabis use and frequent illicit opioid use among PWUD with chronic pain.,0,1,haber
"Compared with the reference  group (persistently high socioeconomic circumstances), participants in other groups had elevated levels of depression (for upward mobility, multivariate odds ratios  (OR) = 1.21; intermediate socioeconomic position, 1.28; downward mobility, 1.66;  persistently low socioeconomic position, 1.82).",0,1,haber
"Compared with use of other second or third  line antidiabetic drugs, use of DPP-4 inhibitors, and possibly GLP-1 receptor  agonists, might be associated with an increased risk of cholangiocarcinoma in adults  with type 2 diabetes.",0,1,haber
Moving to more–socioeconomically deprived neighborhoods was associated with weight gain among DHS participants.,0,1,haber
"Results of this large, prospective cohort study in women with more than 20 years of follow up indicate a consistent link between migraine and cardiovascular disease events, including cardiovascular mortality",0,1,haber
"Most nutrition-related parameters were correlated to frailty, but only low vitamin D was associated with
higher risk for mortality across levels of frailty",0,1,haber
We found that women with PCOS have an increased rate of NAFLD.,0,2,haber
"Ever use of estradiol-only therapy was associated with an increased risk of meningioma (standardized incidence ratio = 1.29, 95%  confidence interval: 1.15, 1.44).",0,1,haber
"Controlling for other demographic characteristics, women with at least secondary education were more likely to have an in-facility delivery compared to women who had not attended school; Similarly, women from households with the highest expenditure were more likely to deliver in a health facility compared to those from the lowest expenditure households",0,1,haber
"Age, female sex, BMI, non-HDL cholesterol, and polyps are independent determinants for gallstone formation.",0,2,pubmed
