sentence,true_label,predicted_label,source
"Total fruit intake was associated with lower risk of CVD and CHD mortality, with a 6–7 %
reduction in risk for each 80 g/day portion consumed (99 % CI 0.89, 1.00 and 0.85, 1.01 respectively).",0,1,haber
"PM⁄DM patients with ILD had significantly
higher median serum KL-6 levels compared with
those without ILD: 995 (range 533–2318) versus 322
(range 132–1225) U mL)1 (P = 0.0002).",0,2,haber
"NJ’s decal provision was associated with a sustained decline in intermediate driver
crashes.",0,1,haber
Initial treatment with an efavirenz-containing antiretroviral  regimen was associated with a 2-fold increased hazard of suicidality compared with a regimen without efavirenz,0,1,haber
Associations between workplace factors and CVD risk factors in mid-adulthood arise  in part from social and health disadvantage originating earlier in life.,0,1,haber
"Preoperative SUA was associated with increased incidence and risk for acute kidney  injury, higher postoperative SCr values, and longer hospital length of stay and  duration of mechanical ventilation support in patients undergoing cardiac surgery.",0,2,haber
"First-degree family history was associated with increased risk
of invasive breast cancer in all subgroups of older women irrespective of a relative’s age at
diagnosis.",0,1,haber
"""The presence of persistent bilateral global nephrograms suggests an increased risk of AKI,
dialysis, and mortality when compared with patients whose kidneys fully eliminated the contrast material.""",0,2,haber
Obtaining a weekly PAI score of at least 100 was associated with lower mortality risk from CVD and all causes in individuals with CVD regardless of whether the current PA recommendations were met.,0,1,haber
addition of nighttime intensivist staffing to a low-intensity daytime staffing model was associated with reduced mortality,0,1,haber
The findings may help explain why people with apple-shaped bodies are more likely than those with pear-shaped bodies to develop kidney disease.,0,1,press_release
"Among women with GD identified by contemporary criteria
compared with those without it, GD was significantly associated with a higher maternal risk
for a disorder of glucose metabolism during long-term follow-up after pregnancy. Among
children of mothers with GD vs those without it, the difference in childhood overweight or
obesity defined by body mass index cutoffs was not statistically significant; however,
additional measures of childhood adiposity may be relevant in interpreting the study findings.",0,1,haber
"The method used at an unsuccessful suicide attempt predicts later completed suicide, after adjustment for sociodemographic confounding and psychiatric disorder.",0,1,haber
Inpatient sleeping drug quadrupled fall risk,0,2,press_release
"Our findings indicate that having an episode of TGA does not increase the risk of subsequent cerebrovascular events, seizures, or cognitive impairment",0,2,haber
"In this community-based cohort, smoking cessation was associated with a  lower risk of CVD events among participants without diabetes, and weight gain that  occurred following smoking cessation did not modify this association.",0,1,haber
"Utilizing individual-level (March Current Population Survey) and country-level data (the United Nations Human Development Reports), we show that among immigrants who have resided in the U.S. between 6 and 20 years, self-reported health is more favorable for the immigrants in the former category (i.e., greater income inequality) than those in the latter (i.e., lower income inequality).",0,1,haber
"In a cohort of Danish children, receipt of live MMR vs inactivated DTaP-IPV-Hib as the most recent vaccine was associated with a lower rate of hospital admissions for any infections.",0,1,haber
"Latent difference score models revealed a significant difference in depression and anxiety symptoms over the two measurement occasions, indicating poorer psychological functioning for those who reported an impact as a result of the economic slowdown.",1,2,haber
These relations  are mediated in part by BMI.,1,0,pubmed
"In this cohort of Spanish individuals with elevated intake of fish and a high adherence to the Mediterranean diet, consumption of blue fish and n-3 PUFA had a prospective protective association with deficits accumulation.",1,2,haber
Our findings showed that children with possible developmental coordination disorder were at greater risk of overweight and obesity than children without the disorder.,1,2,haber
"CHD incidence in women increases progressively with BMI, an association consistently seen in different subgroups.",1,2,haber
"Genetic predisposition to elevated LDL-C was associated with presence of aortic valve calcium and incidence of aortic stenosis, providing evidence supportive of a causal association between LDL-C and aortic valve disease.",1,2,haber
"Patients receiving higher doses of prescribed opioids are at increased risk for overdose, which underscores the need for close supervision of these patients.",1,0,haber
Hyperemesis gravidarum during the second trimester is more likely to cause placental complications,1,2,press_release
No additional increased risk of CMs was observed in children of men with TGCC treated with radio- or chemotherapy.,1,2,haber
"Increasing recreational and non-recreational PA are associated with a lower risk of mortality and CVD events in low, middle and high income countries",1,0,haber
Our findings suggest potential value in motor execution of the phantom limb as a treatment for phantom limb pain.,1,0,haber
Refugees face an increased risk of schizophrenia and other non-affective psychotic  disorders compared with non-refugee migrants from similar regions of origin and the  native-born Swedish population.,1,0,haber
Increased hospital orthopaedic specialisation is associated with improved patient outcomes after adjusting for both patient characteristics and hospital procedural volume,1,0,haber
"In two phase 3 trials, tildrakizumab 200 mg and 100 mg were efficacious compared with placebo and etanercept and were well tolerated in the treatment of patients with moderate-to-severe chronic plaque psoriasis.",1,2,haber
A new study suggests that the common diabetes medication metformin may be considered for use in the prevention or treatment of ovarian cancer.,1,0,press_release
an inexpensive intervention to improve drinking water’s convenience by providing cups can increase student water consumption.,1,0,haber
Discharge against medical advice is associated with over twice the odds of all-cause unplanned 30-day readmission compared with routine discharge,1,0,haber
"These findings constitute a convincing evidence to pursue aggressive ULT in gout patients, regardless of race/ethnicity.",1,0,haber
Nasopharyngeal carcinoma was detected significantly earlier and outcomes were better in participants who were identified by screening than in those in a historical cohort,1,0,haber
"""Results suggest a potential moderating role of BMI in low back pain outcomes.""",1,0,pubmed
"The results of this study support the findings from the prelicensure clinical trials, providing reassurance that the zoster vaccine is generally safe and well-tolerated with a small increased risk of allergic reactions in 1-7 days after vaccination",1,2,haber
An increasing number of midlife vascular risk factors was significantly associated with elevated amyloid SUVR; this association was not significant for late- life risk factors,1,0,haber
Johns Hopkins researchers identify conditions most likely to kill encephalitis patients,1,2,press_release
Levels of Hb are reduced during the first year of use of ACE-Is and to a lesser extent with use of ARBs,1,2,haber
"Evictions decreased after Medicaid expansion, demonstrating further evidence of the substantive financial protections afforded by this coverage.",1,2,haber
The txt2stop smoking cessation programme significantly improved smoking cessation rates at 6 months and should be considered for inclusion in smoking cessation services.,1,2,haber
"Despite the  association between appropriateness category and obstructive CAD, this study raises  concerns about the ability of the appropriate use criteria to guide clinical  decision making.",1,2,haber
Nutritional risk seems to be additionally negatively challenged by utilisation of PPI due to gastric malabsorption and anaemia.,1,0,pubmed
"For every 4 kg/m2 increase in BMI, observational estimates suggested a 26% increase in odds for IHD while causal estimates suggested a 52% increase.",1,2,haber
"In Raynaud's phenomenon, laboratory markers that can be attributed to a chronic inflammatory state independently yield prognostic information in addition to the presence of abnormal nailfold capillaries and ANA.",1,2,haber
"However, all users of amiodarone had very markedly elevated serum desmosterol concentrations: the desmosterol-to-cholesterol ratio (102 × μmol mmol−1) averaged 1030.7 ± 115.7 (mean ± SE) in the amiodarone + group versus 82.7 ± 3.4 and 75.9 ± 1.4 in the amiodarone − and the population control groups (P < 0.001), respectively.",1,2,haber
"We found  that worry was common in this group (65%), that worry was often about current life  concerns (e.g., lacking financial resources, children not attending school, health  concerns, concerns about relatives in Cambodia), and that worry often induced panic  attacks: in the entire sample, 41% (83/201) of the patients had ""worry attacks""  (i.e., worry episodes that resulted in a panic episode) in the last month.",1,2,haber
"ANC attendance is protective against neonatal mortality in the LMICs studied, although differences exist across countries and regions.",1,2,haber
findings suggest that individual- and area-level unemployment have a negative impact on smoking cessation among African Americans,1,2,haber
"Adolescent and young adult lesbians may be less likely to initiate HPV
vaccination compared to their heterosexual counterparts.",1,0,haber
We found that patients with lower income had better pain outcomes compared to patients with higher income,1,0,haber
ACA increased coverage,1,2,haber
Our results support the potential beneficial effect of GPi DBS on disabling tic reduction and improvement of quality of life.,1,0,haber
Use of amiodarone was associated with on average 12-fold serum desmosterol concentrations compared with the control groups. This observation is fully novel and suggests that amiodarone interferes with the conversion of desmosterol to cholesterol in the cholesterol synthesis pathway.,1,0,haber
Patients with breast or colon cancer who participated in the 18-week exercise intervention showed significant higher levels of moderate-to-vigorous total physical activity levels and a tendency towards lower physical fatigue levels 4 years post-baseline.,1,2,haber
"Disparities in vaccine uptake by insurance status were present in the FQHCs studied here, despite the fact that HPV vaccines are available to many patients regardless of ability to pay.",1,2,haber
"sUA may be an early biomarker for subclinical atherosclerosis in young adults; starting in early middle age, sUA predicts subclinical atherosclerosis independently of BMI",1,0,haber
"Metabolic disorders in this population may be due to HIV infection or lifestyle (smoking, sedentary lifestyle and inadequate diet).",1,0,pubmed
"Short telomeres were associated observationally and causal, genetically with increased risk of Alzheimer’s disease",1,0,haber
Detection and treatment of secondary lipid targets such as high TG and low HDL-C levels may be important for the prevention of cardiovascular diseases.,1,0,pubmed
"Available data do not allow conclusions on the comparative efficacy of different surgical techniques; the choice of the surgical technique for a single patient remains an open question, and it is likely that the degree of prevention of CV diseases depends, among other factors, on the baseline conditions of patients.",1,0,pubmed
The pharmacodynamic effects and safety profile of inclisiran were similar in study participants with normal and impaired renal function.,1,0,haber
"We demonstrate a significant socio-economic gradient in mental health between the ages of three and nine years, but little evidence for negative effects of large sibship size",1,2,haber
"In this elderly population, the incidence of infective endocarditis around CRC diagnosis was substantially higher than around the diagnosis of lung, breast and prostate cancers",1,0,haber
"The more transitions people made  in/out of social housing, the greater the impact on mental health and psychological  distress, supporting the case for provision of more stable forms of social housing.",1,0,haber
The paradoxical  association between overweight and mortality is reversed in analyses incorporating  weight history,1,0,haber
"Reduced growth velocity between 28 and 36 weeks’ gestation among fetuses born AGA is associated with antenatal, intrapartum and neonatal indicators of placental insufficiency",1,0,haber
"Treatment with t-E2 modestly improved sexual function in early postmenopausal women, but whether it relieved symptoms of distress is not known.",1,0,haber
"Controlling potential confounders, cooking with biomass was found to be an independent and strong risk factor for depression.",1,2,haber
The study did not support an overall effect of post-diagnosis low-dose aspirin use on prostate cancer mortality.,1,0,haber
The combination of CBT-based group counselling and HBCSS-based weight management is feasible for overweight or obese individuals.,1,0,haber
"Village-wide distribution of single-dose oral ciprofloxacin within 72 hours of case notification
reduced overall meningitis AR",1,2,haber
Medicare beneficiaries with higher utilization of primary care have lower CRC incidence and mortality,1,0,haber
Acute stress reaction is a risk factor for completed suicide.,1,0,haber
"Overall, women with MS had an increased risk of infections and preterm delivery; however, their risks for other adverse pregnancy outcomes were not elevated.",1,2,haber
Both static and dynamic analyses suggested that corruption had a detrimental effect on mental health.,1,2,haber
"Point-of-care CD4 testing enabled clinics to stage patients rapidly on-site after enrolment, which reduced opportunities for pretreatment loss to follow-up.",1,2,haber
"In both studies, there were significant improvements in the primary end point in both lumacaftor–ivacaftor dose groups; the difference between active treatment and placebo with respect to the mean absolute improvement in the percentage of predicted FEV1
 ranged from 2.6 to 4.0 percentage points (P<0.001), which corresponded to a mean relative treatment difference of 4.3 to 6.7% (P<0.001).",1,2,haber
"Liraglutide added to high-dose insulin therapy improved glycemic control, decreased body weight, and enhanced treatment satisfaction in this difficult-to-treat patient population with  high-dose insulin requiremet",1,0,haber
It suggests a genetic pre-disposition involving the dopaminergic signalling pathways known to play a role in food reward and satiety linked mechanisms.,1,0,pubmed
Cardiac vagal modulation at baseline predicts level of CRP 4 years later.,1,2,haber
"Soft drink consumption is significantly linked to overweight, obesity, and diabetes worldwide",1,2,haber
"Breastfed children who were not supplemented, particularly those breastfed more than 1 year, appear to have lower vitamin D status.",1,2,haber
": High-dose oral multivitamins and multiminerals did not statistically significantly reduce
cardiovascular events in patients after MI who received standard medications.",1,0,haber
"Endogenous testosterone was positively associated
with thromboembolism, heart failure, and myocardial
infarction in men",1,0,haber
Endocarditis is a substantial clinical marker for presence of occult cancer.,1,2,haber
People using oral bisphosphonates for the first time may be at a higher risk of scleritis and uveitis compared to people with no bisphosphonate use,1,0,haber
"Slowed processing speed can have substantial implications for independent  functioning, supporting the potential importance of early implementation of an exercise intervention among patients with breast cancer.",1,0,pubmed
The Pilates method could be used as an alternative to improve mood disorders in overweight/obese individuals.,1,0,pubmed
"LBW is associated with infant and later child and adolescent mortality, with perinatal factors and congenital malformations explaining many of the deaths.",1,2,haber
Our results provide evidence of the risk of DILI in tuberculosis patients on standard treatment.,1,2,haber
"The ACSD project did not accelerate child survival in Benin and Mali focus districts relative to comparison areas, probably because coverage for effective treatment interventions for malaria and pneumonia were not accelerated, causes of neonatal deaths and undernutrition were not addressed, and stock shortages of insecticide-treated nets restricted the potential effect of this intervention",1,2,haber
A strong association was observed between education and lung cancer.,1,2,haber
[Our results] provide empirically suggestive evidence of increasing risk of T2D on ALS in the East Asian population,1,0,haber
"The PPV for AN was 57.0% in aspirin users, 30.0% in NAAA users, and 50.0% in DAPT users, without statistically significant differences between the user and nonuser groups.",1,2,haber
"Although not significant, IR levels decreased over time, which could be indicative of a clinical improvement.",1,2,pubmed
"Although poverty measured by expenditure or wealth is associated with health disparities or health
outcomes, a composite indicator of health poverty based on coverage is more likely to focus attention on health
problems and solutions",1,0,haber
his study provides compelling evidence for a link between pSTAT3 and trastuzumab resistance in HER2-positive primary breast cancers,1,0,haber
pharmacodynamic effects and safety profile of inclisiran were similar in study participants with normal and impaired renal function,1,0,haber
"Overall, findings suggest that individual- and area-level unemployment have a negative impact on smoking cessation among African Americans.",1,2,haber
Epilepsy is an independent determinant for gastrointestinal hemorrhage in a chronological and severity-dependent pattern,1,2,haber
"The diagnosis of biceps tendinitis (OR, 3.5) or long  head of the biceps tearing (OR, 5.1) at or before the time of surgery was an especially significant risk factor for revision surgery.",2,1,pubmed
"Despite initial favourable effects on hemodynamic parameters, hydrocortisone therapy did not reduce mortality and was associated with an increase in adverse effects.",2,0,haber
Our results suggest that isovolumetric substitution of water or fresh juice for bottled juice was inversely associated with T2D incidence in a long-term prospective study.,2,1,pubmed
This in turn leads to a significant increase in overall survival.,2,0,press_release
"Compared with azithromycin, coprescription of a statin with clarithromycin or erythromycin was associated with a higher risk for hospitalization with rhabdomyolysis (absolute risk increase, 0.02% [95% CI, 0.01% to 0.03%]; relative risk [RR], 2.17 [CI, 1.04 to 4.53]) or with acute kidney injury (absolute risk increase, 1.26% [CI, 0.58% to 1.95%]; RR, 1.78 [CI, 1.49 to 2.14]) and for all-cause mortality (absolute risk increase, 0.25% [CI, 0.17% to 0.33%]; RR, 1.56 [CI, 1.36 to 1.80]).",2,1,haber
Diabetes mellitus and first-degree family history of cancer are associated with an increased risk of sporadic PNET.,2,1,pubmed
Our study showed that paternal age was associated with the relative rate of stillbirth in a J-shaped manner with the highest hazard ratios among fathers aged more than 40 years,2,1,haber
"There was greater adverse influence of NAFLD per se on triglyceride,  and triglyceride/HDL-cholesterol in men compared with women.",2,0,pubmed
These findings from a large prospective cohort provide evidence that  suboptimal selenium status in Europeans may be associated with an appreciably increased risk of HCC development.,2,1,pubmed
"In old patients with prior fracture, alendronate treatment reduces the risk of hip fracture
with sustained safety, indicating that this treatment should be considered in these high-risk
patients.",2,0,haber
"Susceptibility to smoking among students of 6th grade is associated with being male, family dysfunction and having ever smoked in life.",2,1,pubmed
Children who were given CPR by a bystander had a significantly higher rate of favourable neurological outcome than did those not given CPR,2,0,haber
"After the introduction of rotavirus vaccination for infants, significant declines for three full years were observed in under-5-y diarrhea-related mortality and hospital admissions for diarrhea in Brazil. The largest reductions in diarrhea-related mortality and hospital admissions for diarrhea were among children younger than 2 y, who were eligible for vaccination as infants, which suggests that the reduced diarrhea burden in this age group was associated with introduction of the rotavirus vaccine",2,1,haber
"Among young survivors of first myocardial infarction followed-up longitudinally, smoking cessation is associated with lower risk of cancer.",2,1,haber
"Among HIV-exposed uninfected infants, cCMV infection was associated with adverse perinatal outcomes.",2,1,pubmed
"Patients who had previously undergone BF were better prepared for their procedure; however, satisfaction levels after the procedure were similar in both groups.",2,0,pubmed
"In a large population of critically ill adults, an association exists between nutrition status and mortality.",2,1,pubmed
"Compared with hospital admission with septic shock during quarters of normal use, hospital admission during quarters of shortage was associated with an increased rate of in-hospital mortality.",2,1,haber
These practices can serve as indicators of progressive trends in family centered care.,2,0,pubmed
"Our results suggest that non-responders to statin therapy are more likely to actually be non-adherers, since they have more characteristics that are viewed as indicators of high self-perceived health and low disease awareness, possibly making the subjects less adherent to study medication.",2,1,pubmed
These data suggest that patients with psoriasis are more susceptible to vascular diseases.,2,0,pubmed
Adopting a home-like model of residential care may be associated with reduced prevalence and costs of PIMs.,2,1,pubmed
"LDL-C levels\\xa0<25 or\\xa0<15 mg/dl on alirocumab were not associated with an increase in overall treatment-emergent adverse event rates or neurocognitive events, although cataract incidence appeared to be\\xa0increased\\xa0in the group achieving LDL-C levels\\xa0<25 mg/dl.",2,1,pubmed
"Cases of refractory diabetic macular edema that did not respond to previous treatment, such as anti-vascular endothelial growth factor injections and laser photocoagulation, exhibited improvements in visual acuity and decreases in retinal thickness after IVD implantation.",2,0,pubmed
"Between 2005-2006 and 2013-2014, the prevalence of chronic conditions increased across all segments of the childbearing population.",2,1,pubmed
CARES’ multifaceted intervention was successful in increasing Pap and mammography screening in this multiethnic under-screened population.,2,0,haber
There was no significant difference in inpatient and post-discharge mortality between children admitted with diarrhea alone and those with other diagnoses excluding severe pneumonia.,2,1,haber
Participating in 3 h·wk(-1) of vigorous-intensity activity is associated with a 22% lower risk of MI among men.,2,1,pubmed
Ovarian cancer patients were at an increased risk of developing ischemic stroke,2,0,haber
"Among chronically ill people, this vaccine offered protection against laboratory confirmed H1N1 infection but only offered non-significant protection against influenza related hospital admissions confirmed as H1N1 infection.",2,1,haber
A physical activity-friendly school environment is associated with lower risk of obesity.,2,1,pubmed
"Integrated care management according to the ABC pathway resulted in a significantly lower rate of CVEs, suggesting a clear benefit of a holistic approach to optimize the management of patients with AF.",2,0,haber
"The annual reduction in provision of mental illness beds was associated with the rate of involuntary admissions over the short to medium term, with the closure of two mental illness beds leading to one additional involuntary admission in the subsequent year",2,1,haber
"High-grade prostate cancer was more common in the finasteride group than in the placebo group, but after 18 years of follow-up, there was no significant between-group difference in the rates of overall survival or survival after the diagnosis of prostate cancer.",2,1,haber
"Our results highlight the enhancing effect of diabetes mellitus on hepatocarcinogenesis in noncirrhotic, interferon-treated patients with hepatitis C virus.",2,0,haber
"The use of DAPT increased the rate of positive FIT results. Use of aspirin, NAAAs, or both
did not modify the PPV for AN in this population-based colorectal screening program.",2,0,haber
Findings of this study demonstrated that there was a significant improvement in dietary diversity of adolescents in intervention schools.,2,0,pubmed
Neighborhood disadvantage may be a powerful regulator of ASCVD event risk,2,1,haber
"Poor metabolic health, irrespective of BMI was associated with greater depressive symptoms at the start of follow-up, whereas a poorer course of depressive symptoms over time was observed only in those with both obesity and poor metabolic health.",2,1,pubmed
"Injection of IncoA via a customized approach improved PD tremor on a clinical scale and patient perception, with a low occurrence of significant hand weakness.",2,0,haber
The drinking habits among adults during midlife affect the atherosclerotic process and sustained heavy drinking is associated with an increased cIMT compared to stable moderate drinkers.,2,0,haber
"""We found a positive relationship between alcohol consumption and breast cancer risk, suggesting that this modifiable risk factor should be addressed in breast cancer prevention programs in Africa.""",2,0,pubmed
"Compared with testing using the Carpenter-Coustan criteria, the IADPSG criteria for diagnosis of GDM were associated with higher rates of GDM, cesarean delivery, shoulder dystocia, and neonatal intensive care unit admission.",2,1,pubmed
"Our results were not consistent with PDE5 inhibitors being causally associated with melanoma risk, and strongly suggest that observed risk increases are driven by greater sun exposure among patients exposed to a PDE5 inhibitor.",2,1,haber
"The PCERM systematically under-predicted ASCVD event risk among patients from
disadvantaged communities.",2,1,haber
"A 25-cent-per-drink alcohol tax increase would reduce excessive drinking, and higher-risk drinkers would pay the substantial majority of the net tax increase.",2,1,haber
"After total thyroidectomy, increases in weight and serum cholesterol  were observed in the eSCH group.",2,0,pubmed
"In contrast to results of large randomized trials, statins were independently and significantly associated with lower mortality risk in our real-life HF cohort, including patients with nonischemic HF etiology.",2,1,haber
The Part D coverage gap was associated with decreased use of  medications for hypertension and hyperlipidemia in patients with no gap coverage and  generic-only gap coverage.,2,1,haber
"Paracetamol-codeine combination overdoses are rarely associated with severe respiratory depression, with only two given naloxone and none intubated for respiratory depression.",2,1,pubmed
"In the present study, large tumour size and positive or uncertain margin status were associated with a higher risk of death from breast cancer after treatment for primary DCIS.",2,1,pubmed
"Assuming causality, we estimated that 11% of the SCC lip cancer cases could be attributed to hydrochlorothiazide use.(95%CI: 5.7–10.5).",2,1,haber
"Six months after RYGB, systemic inflammation was reduced in both supplementation schemes.",2,0,pubmed
"Findings suggest that e-cigarettes may hold promise as a smoking-cessation method
and that they are worthy of further study using more-rigorous research designs.",2,1,haber
"In a genome wide meta-analysis of two independent cohorts from UK and Finland, we identified potential associations at three distinct loci.",2,0,pubmed
Severe maternal hearing loss is associated with  significantly increased adolescent distress.,2,1,haber
"In this large multinational study, treatment with SGLT-2i versus other glucose-lowering drugs was associated with a lower risk of HHF and death, suggesting that the benefits seen with empagliflozin in a randomized trial may be a class effect applicable to a broad population of patients with type 2 diabetes  mellitus in real-world practice.",2,1,pubmed
"The On the Move group exercise program was more effective
at improving mobility than a usual-care exercise program, despite lower attendance.",2,0,haber
"Using within-individual models, there was an overall association between SSRIs and violent crime convictions (hazard ratio [HR] = 1.19, 95% CI 1.08–1.32, p < 0.001, absolute risk = 1.0%).",2,1,haber
"Early cART reduced mortality among individuals with low CD4 counts and improved retention in care,
regardless of CD4 count.",2,1,haber
"After implementation of the combined intervention, the likelihood of women’s reports of disrespectful treatment during childbirth was substantially reduced.",2,1,haber
The Medicaid expansion did not appear to improve smoking cessation,2,1,haber
Results suggest that two repair processes may be present in the area where RPE tears developed.,2,1,pubmed
"MAR-conceived children face an elevated risk of adverse birth outcomes.
However, our results indicate that this increased risk is largely attributable to factors other
than the MAR treatment itself.",2,1,haber
"""These improvements were greater with a low-fat vegan diet.""",2,0,pubmed
Thymic size in infancy was not significantly associated with maternal supplement group at any post-natal time point.,2,1,haber
"Among adults with isovolemic anemia following radical gastrectomy, the use of ferric carboxymaltose compared with placebo was more likely to result in improved hemoglobin response at 12 weeks",2,1,haber
"These findings suggest that current WHO-recommended ART regimens appear relatively safe in pregnancy, although more data are required to understand the aetiology of preterm delivery in HIV-infected women using ART.",2,1,haber
"Low doses of aspirin (75–100 mg) were only effective in preventing vascular events in patients weighing less than 70 kg, and had no benefit in the 80% of men and nearly 50% of all women weighing 70 kg or more.",2,0,haber
"Among patients receiving antithrombotic therapy after MI, the use of NSAIDs was associated with increased risk of bleeding and excess thrombotic events, even after short-term treatment.",2,1,haber
Our results suggest a public health message that low frequency of cigarette consumption contributes to the development of HNC.,2,1,haber
"The adjuvanted monovalent vaccine against pandemic influenza A/H1N1 was offered late in the 2009-10 influenza season. Among chronically ill people, this vaccine offered protection against laboratory confirmed H1N1 infection but only offered non-significant protection against influenza related hospital admissions confirmed as H1N1 infection",2,1,haber
"Our findings suggested that the increased plasma level of 27-OHC was associated with MCI, suggesting high plasma levels of 27-OHC may pay an important role in the development of MCI.",2,1,pubmed
Cranberry juice did not significantly reduce UTI risk compared with placebo.,2,0,haber
"However, individuals with  higher cancer information overload were 8 times more likely to screen if they  received tailored messages",2,0,haber
"In diabetic patients with MV-CAD, CABG was associated with a lower rate of long-term MACCE relative\\xa0to PCI for both ACS and SIHD.",2,1,pubmed
Circulating cotinine concentrations are consistently associated with lung cancer risk for current smokers and provide additional risk-discriminative information compared with self-report smoking alone.,2,1,haber
"STIs can make HIV easier to transmit even after antiretroviral therapy has begun, so rooting out STI co-infections in patients should improve HIV prevention.",2,1,press_release
A history of a previous DFI episode did not predict a greater likelihood of any antibiotic-resistant isolate in subsequent episodes.,2,1,pubmed
"""In type 2 diabetes patients, leukocyte telomere length is significantly reduced, whereas the telomerase activity seems less influenced.""",2,0,pubmed
"Mild PTSD symptoms are common in patients with lung cancer 6 months after treatment; however, a full diagnosis of PTSD is uncommon.",2,0,pubmed
Substantial WL may predict for poor overall survival.,2,1,pubmed
"The use of trastuzumab, chemotherapy and surgery among women with HER2-positive metastatic breast cancer significantly improved survival from the time central nervous system metastases were diagnosed.",2,0,press_release
"In this contemporary cohort, incidence of fever was low but CD4 cell count less than 200/mm³ remained associated with the highest incidence of fever.",2,1,pubmed
Preterm and early term birth are strong risk factors for the development of CKD from childhood into mid-adulthood.,2,0,haber
An elevated BMI in adolescence — one that is well within the range currently considered to be normal — constitutes a substantial risk factor for obesity-related disorders in midlife.,2,0,haber
"The risk of different ID in the UK is significantly influenced by the season of birth, suggesting the presence of a shared seasonal risk factor or factors predisposing to ID.",2,1,haber
"Healthcare professional weight loss advice appears to increase the accuracy of
firefighter weight perceptions, promote weight loss attempts, and may encourage dieting and physical activity behaviors among overweight firefighters",2,1,haber
"A stepped-care intervention that combined analgesics, self-management strategies, and brief cognitive behavioral therapy resulted in statistically significant reductions in pain-related disability, pain interference, and pain severity in veterans with chronic musculoskeletal pain.",2,0,haber
Randomized controlled trials documented effectiveness of the Legacy model over time while allowing for implementation adaptations by 2 different sites.,2,0,haber
"Limited evidence of Level II-2, fair quality, concerning whether CHC  use modifies the risk of AMI and stroke in obese women is inconclusive, while a single study of Level II-2, poor quality, found that obese COC users may be at higher risk for CVT compared with normal-weight nonusers.",2,0,pubmed
"The  intragastric pressure rise inducing this effect is well\\xa0within the range associated with differing waist circumference and likely to be relevant to the association between obesity and reflux disease.""",2,0,pubmed
Individuals with high plasma furin concentration have a pronounced dysmetabolic phe- notype and elevated risk of diabetes mellitus,2,0,haber
Proper patient selection is an important variable.,2,0,pubmed
Elderly caregivers of elderly people who have higher levels of burden have lower perceived social support.,2,0,pubmed
